[ 2025-06-20 18:38:57,582 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-20 18:39:01,847 ] 61 root - INFO - Performed train test split on dataframe
[ 2025-06-20 18:39:01,847 ] 62 root - INFO - Exited split_data_as_train_test method successfully
[ 2025-06-20 18:39:01,847 ] 67 root - INFO - Exporting train and test filrd path.
[ 2025-06-20 18:39:02,023 ] 76 root - INFO - Exported train and test file path successfully
[ 2025-06-20 18:39:02,039 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-20 18:39:02,039 ] 24 root - INFO - Initiate the data Validation
[ 2025-06-20 18:39:02,155 ] 31 root - INFO - Number of columns in the schema: 2
[ 2025-06-20 18:39:02,155 ] 32 root - INFO - Dataframe columns:32
[ 2025-06-20 18:39:02,155 ] 31 root - INFO - Number of columns in the schema: 2
[ 2025-06-20 18:39:02,155 ] 32 root - INFO - Dataframe columns:32
[ 2025-06-20 18:39:02,155 ] 26 root - INFO - data Validation Completed
